ResponseId,LanguageHaveWorkedWith
1,
2,JavaScript;TypeScript
3,C#;C++;HTML/CSS;JavaScript;Python
4,C#;JavaScript;SQL;TypeScript
5,C#;HTML/CSS;JavaScript;SQL;Swift;TypeScript
6,C++;Lua
7,C++;HTML/CSS;JavaScript;PHP;Python;TypeScript
8,C;C++;HTML/CSS;Java;JavaScript;SQL
9,
10,Delphi;Java;Swift
11,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL
12,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL
13,C;HTML/CSS;Rust;SQL;Swift;TypeScript
14,Elixir;Erlang;HTML/CSS;JavaScript;Ruby;SQL;TypeScript
15,HTML/CSS;JavaScript;PHP;Python;R;Ruby;Scala
16,Bash/Shell;HTML/CSS;JavaScript;SQL;TypeScript
17,C#;Java;PHP;Python;R
18,Python;SQL
19,C#;PowerShell;SQL
20,C++;HTML/CSS;Java;JavaScript;Python
21,Bash/Shell;C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript
22,Python;SQL;TypeScript
23,C#;SQL;TypeScript
24,VBA
25,C#;C++;JavaScript;PHP;TypeScript
26,Dart;Go;Java;Kotlin;Swift;TypeScript
27,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;SQL
28,C#;HTML/CSS;JavaScript;Rust;TypeScript
29,C;C++
30,C#;JavaScript;PowerShell;SQL
31,
32,C#;HTML/CSS;JavaScript;SQL
33,C++;Python
34,C++;Go;Python
35,HTML/CSS;JavaScript;Python;SQL;TypeScript
36,MATLAB;Python
37,C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL
38,HTML/CSS;JavaScript;PHP;Python;Ruby
39,HTML/CSS;JavaScript;Python;SQL
40,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Perl;PHP;Scala;SQL
41,C#;C++;HTML/CSS;JavaScript;SQL;TypeScript;VBA
42,Bash/Shell;HTML/CSS;Python;SQL
43,C#;HTML/CSS;JavaScript;PHP;Ruby;SQL
44,
45,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Python;R;SQL
46,JavaScript;TypeScript
47,Bash/Shell;C;C++;Java;Lua;Python
48,Java;JavaScript;PHP;SQL;TypeScript
